country_code,year,gdp
PNG,2022,2467.23488790877
PNG,2023,2515.29070398356
PNG,2024,2572.03225701814
SLB,2000,1747.73099551254
SLB,2001,1577.66696008378
SLB,2002,1504.85795225232
SLB,2003,1573.85522149264
SLB,2004,1664.58030147977
SLB,2005,1755.72812344484
SLB,2006,1796.71896309507
SLB,2007,1830.23675931387
SLB,2008,1911.19452897184
SLB,2009,1930.45659372799
SLB,2010,2058.95426620207
SLB,2011,2132.01998399541
SLB,2012,2105.90758922315
SLB,2013,2136.72036781191
SLB,2014,2085.15500132222
SLB,2015,2045.47889485251
SLB,2016,2084.24598380679
SLB,2017,2075.36230008714
SLB,2018,2061.89784418456
SLB,2019,2043.07578936317
SLB,2020,1930.64258596415
SLB,2021,1933.17055918223
SLB,2022,1932.78966817916
SLB,2023,1937.16001505132
SLB,2024,1939.81288626967
THA,2000,3514.71662970608
THA,2001,3599.02524877358
THA,2002,3783.75422073266
THA,2003,4018.15538187068
THA,2004,4232.77157261934
THA,2005,4372.25730206261
THA,2006,4551.5250018314
THA,2007,4760.66708464831
THA,2008,4805.76393990836
THA,2009,4737.45679763314
THA,2010,5059.35747831657
THA,2011,5070.23740191942
THA,2012,5403.87846036273
THA,2013,5516.61164164135
THA,2014,5541.46599361845
THA,2015,5688.85335397884
THA,2016,5857.78052935926
THA,2017,6076.74307700082
THA,2018,6314.19948412043
THA,2019,6434.53770518034
THA,2020,6035.18627737077
THA,2021,6121.52696529713
THA,2022,6278.7855138276
THA,2023,6408.41432577294
THA,2024,6573.44430044414
TLS,2000,1117.56429796112
TLS,2001,1192.78575791112
TLS,2002,1028.1319342253
TLS,2003,964.322564618129
TLS,2004,955.470548287377
TLS,2005,964.026614173558
TLS,2006,897.573763670928
TLS,2007,961.848462090268
TLS,2008,1042.86835443002
TLS,2009,1120.09698448398
TLS,2010,1195.38086241831
TLS,2011,1237.48383284275
TLS,2012,1269.41629276068
TLS,2013,1281.92864092574
TLS,2014,1312.96494079465
TLS,2015,1319.59297370991
TLS,2016,1333.6585468432
TLS,2017,1267.08660142883
TLS,2018,1243.00069226339
TLS,2019,1504.54988585305
TLS,2020,1947.8399413707
TLS,2021,2014.78226729247
